movie_title,year,movie+title,tmdb_id
Toy Story ,1995,Toy+Story,862
GoldenEye ,1995,GoldenEye,710
Four Rooms ,1995,Four+Rooms,5
Get Shorty ,1995,Get+Shorty,8012
Copycat ,1995,Copycat,1710
Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,Shanghai+Triad+(Yao+a+yao+yao+dao+waipo+qiao),-1
Twelve Monkeys ,1995,Twelve+Monkeys,63
Babe ,1995,Babe,9598
Dead Man Walking ,1995,Dead+Man+Walking,687
Richard III ,1996,Richard+III,42314
Seven (Se7en) ,1995,Seven+(Se7en),807
"Usual Suspects, The ",1995,"Usual+Suspects,+The",629
Mighty Aphrodite ,1995,Mighty+Aphrodite,11448
"Postino, Il ",1994,"Postino,+Il",11010
Mr. Holland's Opus ,1996,Mr.+Holland's+Opus,2054
French Twist (Gazon maudit) ,1995,French+Twist+(Gazon+maudit),4482
From Dusk Till Dawn ,1996,From+Dusk+Till+Dawn,755
"White Balloon, The ",1995,"White+Balloon,+The",46785
Antonia's Line ,1995,Antonia's+Line,880
Angels and Insects ,1995,Angels+and+Insects,8447
Muppet Treasure Island ,1996,Muppet+Treasure+Island,10874
Braveheart ,1996,Braveheart,-1
Taxi Driver ,1996,Taxi+Driver,103
Rumble in the Bronx ,1996,Rumble+in+the+Bronx,33542
"Birdcage, The ",1996,"Birdcage,+The",11000
"Brothers McMullen, The ",1995,"Brothers+McMullen,+The",16388
Bad Boys ,1995,Bad+Boys,9737
Apollo 13 ,1995,Apollo+13,568
Batman Forever ,1995,Batman+Forever,414
Belle de jour ,1967,Belle+de+jour,649
Crimson Tide ,1995,Crimson+Tide,8963
Crumb ,1994,Crumb,26564
Desperado ,1995,Desperado,8068
"Doom Generation, The ",1995,"Doom+Generation,+The",13552
Free Willy 2: The Adventure Home ,1995,Free+Willy+2:+The+Adventure+Home,9073
Mad Love ,1995,Mad+Love,47608
Nadja ,1994,Nadja,34574
"Net, The ",1995,"Net,+The",1642
Strange Days ,1995,Strange+Days,281
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,"To+Wong+Foo,+Thanks+for+Everything!+Julie+Newmar",9090
Billy Madison ,1995,Billy+Madison,11017
Clerks ,1994,Clerks,2292
Disclosure ,1994,Disclosure,8984
Dolores Claiborne ,1994,Dolores+Claiborne,-1
Eat Drink Man Woman ,1994,Eat+Drink+Man+Woman,10451
Exotica ,1994,Exotica,20156
Ed Wood ,1994,Ed+Wood,522
Hoop Dreams ,1994,Hoop+Dreams,14275
I.Q. ,1994,I.Q.,11777
Star Wars ,1977,Star+Wars,11
Legends of the Fall ,1994,Legends+of+the+Fall,4476
"Madness of King George, The ",1994,"Madness+of+King+George,+The",11318
Natural Born Killers ,1994,Natural+Born+Killers,241
Outbreak ,1995,Outbreak,6950
"Professional, The ",1994,"Professional,+The",101
Pulp Fiction ,1994,Pulp+Fiction,680
Priest ,1994,Priest,40156
Quiz Show ,1994,Quiz+Show,11450
Three Colors: Red ,1994,Three+Colors:+Red,110
Three Colors: Blue ,1993,Three+Colors:+Blue,108
Three Colors: White ,1994,Three+Colors:+White,109
Stargate ,1994,Stargate,2164
"Santa Clause, The ",1994,"Santa+Clause,+The",11395
"Shawshank Redemption, The ",1994,"Shawshank+Redemption,+The",278
What's Eating Gilbert Grape ,1993,What's+Eating+Gilbert+Grape,1587
While You Were Sleeping ,1995,While+You+Were+Sleeping,2064
Ace Ventura: Pet Detective ,1994,Ace+Ventura:+Pet+Detective,3049
"Crow, The ",1994,"Crow,+The",9495
Forrest Gump ,1994,Forrest+Gump,13
Four Weddings and a Funeral ,1994,Four+Weddings+and+a+Funeral,712
"Lion King, The ",1994,"Lion+King,+The",8587
"Mask, The ",1994,"Mask,+The",854
Maverick ,1994,Maverick,9359
Faster Pussycat! Kill! Kill! ,1965,Faster+Pussycat!+Kill!+Kill!,315
Brother Minister: The Assassination of Malcolm X ,1994,Brother+Minister:+The+Assassination+of+Malcolm+X,-1
Carlito's Way ,1993,Carlito's+Way,6075
"Firm, The ",1993,"Firm,+The",37233
Free Willy ,1993,Free+Willy,1634
"Fugitive, The ",1993,"Fugitive,+The",5503
Hot Shots! Part Deux ,1993,Hot+Shots!+Part+Deux,9255
"Hudsucker Proxy, The ",1994,"Hudsucker+Proxy,+The",11934
Jurassic Park ,1993,Jurassic+Park,329
Much Ado About Nothing ,1993,Much+Ado+About+Nothing,11971
Robert A. Heinlein's The Puppet Masters ,1994,Robert+A.+Heinlein's+The+Puppet+Masters,25557
"Ref, The ",1994,"Ref,+The",10872
"Remains of the Day, The ",1993,"Remains+of+the+Day,+The",1245
Searching for Bobby Fischer ,1993,Searching+for+Bobby+Fischer,14291
Sleepless in Seattle ,1993,Sleepless+in+Seattle,858
Blade Runner ,1982,Blade+Runner,78
So I Married an Axe Murderer ,1993,So+I+Married+an+Axe+Murderer,10442
"Nightmare Before Christmas, The ",1993,"Nightmare+Before+Christmas,+The",9479
True Romance ,1993,True+Romance,319
Welcome to the Dollhouse ,1996,Welcome+to+the+Dollhouse,11446
Home Alone ,1990,Home+Alone,771
Aladdin ,1992,Aladdin,812
Terminator 2: Judgment Day ,1991,Terminator+2:+Judgment+Day,280
Dances with Wolves ,1990,Dances+with+Wolves,581
"Silence of the Lambs, The ",1991,"Silence+of+the+Lambs,+The",274
Snow White and the Seven Dwarfs ,1937,Snow+White+and+the+Seven+Dwarfs,408
Fargo ,1997,Fargo,275
Heavy Metal ,1981,Heavy+Metal,11827
"Aristocats, The ",1970,"Aristocats,+The",10112
All Dogs Go to Heaven 2 ,1996,All+Dogs+Go+to+Heaven+2,19042
Theodore Rex ,1996,Theodore+Rex,36259
Sgt. Bilko ,1996,Sgt.+Bilko,9099
Diabolique ,1996,Diabolique,10988
Moll Flanders ,1996,Moll+Flanders,18989
Kids in the Hall: Brain Candy ,1996,Kids+in+the+Hall:+Brain+Candy,18414
Mystery Science Theater 3000: The Movie ,1996,Mystery+Science+Theater+3000:+The+Movie,3065
Operation Dumbo Drop ,1995,Operation+Dumbo+Drop,27281
"Truth About Cats & Dogs, The ",1996,"Truth+About+Cats+&+Dogs,+The",8866
Flipper ,1996,Flipper,36355
"Horseman on the Roof, The (Hussard sur le toit, Le) ",1996,"Horseman+on+the+Roof,+The+(Hussard+sur+le+toit,+Le)",-1
Wallace & Gromit: The Best of Aardman Animation ,1996,Wallace+&+Gromit:+The+Best+of+Aardman+Animation,532
"Haunted World of Edward D. Wood Jr., The ",1996,"Haunted+World+of+Edward+D.+Wood+Jr.,+The",73183
Cold Comfort Farm ,1996,Cold+Comfort+Farm,-1
"Rock, The ",1996,"Rock,+The",9802
Twister ,1996,Twister,664
Maya Lin: A Strong Clear Vision ,1994,Maya+Lin:+A+Strong+Clear+Vision,-1
Striptease ,1996,Striptease,9879
Independence Day (ID4) ,1996,Independence+Day+(ID4),602
"Cable Guy, The ",1996,"Cable+Guy,+The",9894
"Frighteners, The ",1996,"Frighteners,+The",10779
Lone Star ,1996,Lone+Star,26748
Phenomenon ,1996,Phenomenon,9294
"Spitfire Grill, The ",1996,"Spitfire+Grill,+The",47907
"Godfather, The ",1972,"Godfather,+The",238
Supercop ,1996,Supercop,11134
Bound ,1996,Bound,9303
Kansas City ,1996,Kansas+City,22479
Breakfast at Tiffany's ,1961,Breakfast+at+Tiffany's,164
"Wizard of Oz, The ",1939,"Wizard+of+Oz,+The",630
Gone with the Wind ,1939,Gone+with+the+Wind,770
Citizen Kane ,1941,Citizen+Kane,15
2001: A Space Odyssey ,1968,2001:+A+Space+Odyssey,62
Mr. Smith Goes to Washington ,1939,Mr.+Smith+Goes+to+Washington,3083
Big Night ,1996,Big+Night,18203
D3: The Mighty Ducks ,1996,D3:+The+Mighty+Ducks,10680
"Love Bug, The ",1969,"Love+Bug,+The",14136
Homeward Bound: The Incredible Journey ,1993,Homeward+Bound:+The+Incredible+Journey,6878
"20,000 Leagues Under the Sea ",1954,"20,000+Leagues+Under+the+Sea",173
Bedknobs and Broomsticks ,1971,Bedknobs+and+Broomsticks,12335
"Sound of Music, The ",1965,"Sound+of+Music,+The",15121
Die Hard ,1988,Die+Hard,562
"Lawnmower Man, The ",1992,"Lawnmower+Man,+The",10163
Unhook the Stars ,1996,Unhook+the+Stars,48862
"Long Kiss Goodnight, The ",1996,"Long+Kiss+Goodnight,+The",11412
"Ghost and the Darkness, The ",1996,"Ghost+and+the+Darkness,+The",10586
Jude ,1996,Jude,25147
Swingers ,1996,Swingers,10218
Willy Wonka and the Chocolate Factory ,1971,Willy+Wonka+and+the+Chocolate+Factory,252
Sleeper ,1973,Sleeper,11561
"Fish Called Wanda, A ",1988,"Fish+Called+Wanda,+A",623
Monty Python's Life of Brian ,1979,Monty+Python's+Life+of+Brian,583
Dirty Dancing ,1987,Dirty+Dancing,88
Reservoir Dogs ,1992,Reservoir+Dogs,500
Platoon ,1986,Platoon,792
Weekend at Bernie's ,1989,Weekend+at+Bernie's,8491
Basic Instinct ,1992,Basic+Instinct,402
Glengarry Glen Ross ,1992,Glengarry+Glen+Ross,9504
Top Gun ,1986,Top+Gun,744
On Golden Pond ,1981,On+Golden+Pond,11816
"Return of the Pink Panther, The ",1974,"Return+of+the+Pink+Panther,+The",-1
"Abyss, The ",1989,"Abyss,+The",2756
Jean de Florette ,1986,Jean+de+Florette,4480
Manon of the Spring (Manon des sources) ,1986,Manon+of+the+Spring+(Manon+des+sources),4481
Private Benjamin ,1980,Private+Benjamin,10765
Monty Python and the Holy Grail ,1974,Monty+Python+and+the+Holy+Grail,-1
"Wrong Trousers, The ",1993,"Wrong+Trousers,+The",531
Cinema Paradiso ,1988,Cinema+Paradiso,11216
Delicatessen ,1991,Delicatessen,892
"Empire Strikes Back, The ",1980,"Empire+Strikes+Back,+The",1891
"Princess Bride, The ",1987,"Princess+Bride,+The",2493
Raiders of the Lost Ark ,1981,Raiders+of+the+Lost+Ark,85
Brazil ,1985,Brazil,68
Aliens ,1986,Aliens,679
"Good, The Bad and The Ugly, The ",1966,"Good,+The+Bad+and+The+Ugly,+The",429
12 Angry Men ,1957,12+Angry+Men,389
"Clockwork Orange, A ",1971,"Clockwork+Orange,+A",185
Apocalypse Now ,1979,Apocalypse+Now,28
Return of the Jedi ,1997,Return+of+the+Jedi,1892
GoodFellas ,1990,GoodFellas,769
Alien ,1979,Alien,348
Army of Darkness ,1993,Army+of+Darkness,766
Psycho ,1960,Psycho,539
"Blues Brothers, The ",1980,"Blues+Brothers,+The",525
"Godfather: Part II, The ",1974,"Godfather:+Part+II,+The",240
Full Metal Jacket ,1987,Full+Metal+Jacket,600
"Grand Day Out, A ",1992,"Grand+Day+Out,+A",-1
Henry V ,1989,Henry+V,10705
Amadeus ,1984,Amadeus,279
Raging Bull ,1980,Raging+Bull,1578
"Right Stuff, The ",1983,"Right+Stuff,+The",9549
"Sting, The ",1973,"Sting,+The",9277
"Terminator, The ",1984,"Terminator,+The",218
Dead Poets Society ,1989,Dead+Poets+Society,207
"Graduate, The ",1967,"Graduate,+The",37247
Nikita (La Femme Nikita) ,1990,Nikita+(La+Femme+Nikita),9322
"Bridge on the River Kwai, The ",1957,"Bridge+on+the+River+Kwai,+The",826
"Shining, The ",1980,"Shining,+The",694
Evil Dead II ,1987,Evil+Dead+II,765
Groundhog Day ,1993,Groundhog+Day,137
Unforgiven ,1992,Unforgiven,33
Back to the Future ,1985,Back+to+the+Future,105
Patton ,1970,Patton,11202
Akira ,1988,Akira,149
Cyrano de Bergerac ,1990,Cyrano+de+Bergerac,11673
Young Frankenstein ,1974,Young+Frankenstein,3034
This Is Spinal Tap ,1984,This+Is+Spinal+Tap,11031
