movie_title,year,tmdb_id,movie_id,director,actor1,actor2
Toy Story ,1995,862,1,John Lasseter,Tom Hanks,Tim Allen
GoldenEye ,1995,710,2,Martin Campbell,Pierce Brosnan,Sean Bean
Four Rooms ,1995,5,3,Allison Anders,Tim Roth,Antonio Banderas
Get Shorty ,1995,8012,4,Barry Sonnenfeld,John Travolta,Gene Hackman
Copycat ,1995,1710,5,Jon Amiel,Sigourney Weaver,Holly Hunter
Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,37557,6,Zhang Yimou,Gong Li,Li Bao-Tian
Twelve Monkeys ,1995,63,7,Terry Gilliam,Bruce Willis,Madeleine Stowe
Babe ,1995,9598,8,Chris Noonan,Christine Cavanaugh,Miriam Margolyes
Dead Man Walking ,1995,687,9,Tim Robbins,Susan Sarandon,Sean Penn
Richard III ,1996,42314,10,Al Pacino,Al Pacino,Winona Ryder
Seven (Se7en) ,1995,807,11,David Fincher,Brad Pitt,Morgan Freeman
"Usual Suspects, The ",1995,629,12,Bryan Singer,Stephen Baldwin,Kevin Spacey
Mighty Aphrodite ,1995,11448,13,Woody Allen,Woody Allen,Mira Sorvino
"Postino, Il ",1994,11010,14,Michael Radford,Philippe Noiret,Massimo Troisi
Mr. Holland's Opus ,1996,2054,15,Stephen Herek,Richard Dreyfuss,Glenne Headly
French Twist (Gazon maudit) ,1995,4482,16,Josiane Balasko,Victoria Abril,Josiane Balasko
From Dusk Till Dawn ,1996,755,17,Robert Rodriguez,George Clooney,Quentin Tarantino
"White Balloon, The ",1995,46785,18,Jafar Panahi,Aida Mohammadkhani,Mohsen Kafili
Antonia's Line ,1995,880,19,Marleen Gorris,Willeke van Ammelrooy,Els Dottermans
Angels and Insects ,1995,8447,20,Philip Haas,Mark Rylance,Kristin Scott Thomas
Muppet Treasure Island ,1996,10874,21,Brian Henson,Tim Curry,Kevin Bishop
Braveheart ,1996,197,22,Mel Gibson,Mel Gibson,Catherine McCormack
Taxi Driver ,1996,103,23,Martin Scorsese,Robert De Niro,Jodie Foster
Rumble in the Bronx ,1996,33542,24,Stanley Tong,Jackie Chan,Anita Mui
"Birdcage, The ",1996,11000,25,Mike Nichols,Robin Williams,Nathan Lane
"Brothers McMullen, The ",1995,16388,26,Edward Burns,Shari Albert,Maxine Bahns
Bad Boys ,1995,9737,27,Michael Bay,Will Smith,Martin Lawrence
Apollo 13 ,1995,568,28,Ron Howard,Tom Hanks,Bill Paxton
Batman Forever ,1995,414,29,Joel Schumacher,Val Kilmer,Tommy Lee Jones
Belle de jour ,1967,649,30,Luis Buñuel,Catherine Deneuve,Jean Sorel
Crimson Tide ,1995,8963,31,Tony Scott,Denzel Washington,Gene Hackman
Crumb ,1994,26564,32,Terry Zwigoff,Robert Crumb,Aline Kominsky
Desperado ,1995,8068,33,Robert Rodriguez,Antonio Banderas,Salma Hayek
"Doom Generation, The ",1995,13552,34,Gregg Araki,Rose McGowan,James Duval
Free Willy 2: The Adventure Home ,1995,9073,35,Dwight H. Little,Jason James Richter,Michael Madsen
Mad Love ,1995,47608,36,Antonia Bird,Chris O'Donnell,Drew Barrymore
Nadja ,1994,34574,37,Michael Almereyda,Elina Löwensohn,Peter Fonda
"Net, The ",1995,1642,38,Irwin Winkler,Sandra Bullock,Jeremy Northam
Strange Days ,1995,281,39,Kathryn Bigelow,Ralph Fiennes,Angela Bassett
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,9090,40,Beeban Kidron,Patrick Swayze,Wesley Snipes
Billy Madison ,1995,11017,41,Tamra Davis,Adam Sandler,Darren McGavin
Clerks ,1994,2292,42,Kevin Smith,Brian O'Halloran,Jeff Anderson
Disclosure ,1994,8984,43,Barry Levinson,Michael Douglas,Demi Moore
Dolores Claiborne ,1994,11929,44,Taylor Hackford,Kathy Bates,Jennifer Jason Leigh
Eat Drink Man Woman ,1994,10451,45,Ang Lee,Sihung Lung,Yu-Wen Wang
Exotica ,1994,20156,46,Atom Egoyan,Bruce Greenwood,Mia Kirshner
Ed Wood ,1994,522,47,Tim Burton,Johnny Depp,Martin Landau
Hoop Dreams ,1994,14275,48,Steve James,William Gates,Arthur Agee
I.Q. ,1994,11777,49,Fred Schepisi,Tim Robbins,Meg Ryan
Star Wars ,1977,11,50,George Lucas,Mark Hamill,Harrison Ford
Legends of the Fall ,1994,4476,51,Edward Zwick,Brad Pitt,Anthony Hopkins
"Madness of King George, The ",1994,11318,52,Nicholas Hytner,Nigel Hawthorne,Helen Mirren
Natural Born Killers ,1994,241,53,Oliver Stone,Woody Harrelson,Juliette Lewis
Outbreak ,1995,6950,54,Wolfgang Petersen,Dustin Hoffman,Rene Russo
"Professional, The ",1994,101,55,Luc Besson,Jean Reno,Natalie Portman
Pulp Fiction ,1994,680,56,Quentin Tarantino,John Travolta,Samuel L. Jackson
Priest ,1994,40156,57,Antonia Bird,Linus Roache,Tom Wilkinson
Quiz Show ,1994,11450,58,Robert Redford,John Turturro,Rob Morrow
Three Colors: Red ,1994,110,59,Krzysztof Kieślowski,Irène Jacob,Jean-Louis Trintignant
Three Colors: Blue ,1993,108,60,Krzysztof Kieślowski,Juliette Binoche,Benoît Régent
Three Colors: White ,1994,109,61,Krzysztof Kieślowski,Zbigniew Zamachowski,Julie Delpy
Stargate ,1994,2164,62,Roland Emmerich,Kurt Russell,James Spader
"Santa Clause, The ",1994,11395,63,John Pasquin,Tim Allen,Judge Reinhold
"Shawshank Redemption, The ",1994,278,64,Frank Darabont,Tim Robbins,Morgan Freeman
What's Eating Gilbert Grape ,1993,1587,65,Lasse Hallström,Johnny Depp,Leonardo DiCaprio
While You Were Sleeping ,1995,2064,66,Jon Turteltaub,Sandra Bullock,Bill Pullman
Ace Ventura: Pet Detective ,1994,3049,67,Tom Shadyac,Jim Carrey,Sean Young
"Crow, The ",1994,9495,68,Alex Proyas,Brandon Lee,Rochelle Davis
Forrest Gump ,1994,13,69,Robert Zemeckis,Tom Hanks,Robin Wright
Four Weddings and a Funeral ,1994,712,70,Mike Newell,Hugh Grant,Andie MacDowell
"Lion King, The ",1994,8587,71,Roger Allers,Matthew Broderick,Jonathan Taylor Thomas
"Mask, The ",1994,854,72,Chuck Russell,Jim Carrey,Cameron Diaz
Maverick ,1994,9359,73,Richard Donner,Mel Gibson,Jodie Foster
Faster Pussycat! Kill! Kill! ,1965,315,74,Russ Meyer,Tura Satana,Haji
Brother Minister: The Assassination of Malcolm X ,1994,316098,75,Jefri Aalmuhammed,Roscoe Lee Browne,
Carlito's Way ,1993,6075,76,Brian De Palma,Al Pacino,Sean Penn
"Firm, The ",1993,37233,77,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn
Free Willy ,1993,1634,78,Simon Wincer,Jason James Richter,Lori Petty
"Fugitive, The ",1993,5503,79,Andrew Davis,Harrison Ford,Tommy Lee Jones
Hot Shots! Part Deux ,1993,9255,80,Jim Abrahams,Charlie Sheen,Lloyd Bridges
"Hudsucker Proxy, The ",1994,11934,81,Joel Coen,Tim Robbins,Jennifer Jason Leigh
Jurassic Park ,1993,329,82,Steven Spielberg,Sam Neill,Laura Dern
Much Ado About Nothing ,1993,11971,83,Kenneth Branagh,Kenneth Branagh,Richard Briers
Robert A. Heinlein's The Puppet Masters ,1994,25557,84,Stuart Orme,Donald Sutherland,Eric Thal
"Ref, The ",1994,10872,85,Ted Demme,Denis Leary,Judy Davis
"Remains of the Day, The ",1993,1245,86,James Ivory,Anthony Hopkins,Emma Thompson
Searching for Bobby Fischer ,1993,14291,87,Steven Zaillian,Max Pomeranc,Joe Mantegna
Sleepless in Seattle ,1993,858,88,Nora Ephron,Tom Hanks,Meg Ryan
Blade Runner ,1982,78,89,Ridley Scott,Harrison Ford,Rutger Hauer
So I Married an Axe Murderer ,1993,10442,90,Thomas Schlamme,Mike Myers,Nancy Travis
"Nightmare Before Christmas, The ",1993,9479,91,Henry Selick,Danny Elfman,Chris Sarandon
True Romance ,1993,319,92,Tony Scott,Christian Slater,Patricia Arquette
Welcome to the Dollhouse ,1996,11446,93,Todd Solondz,Heather Matarazzo,Victoria Davis
Home Alone ,1990,771,94,Chris Columbus,Macaulay Culkin,Joe Pesci
Aladdin ,1992,812,95,Ron Clements,Scott Weinger,Robin Williams
Terminator 2: Judgment Day ,1991,280,96,James Cameron,Arnold Schwarzenegger,Linda Hamilton
Dances with Wolves ,1990,581,97,Kevin Costner,Kevin Costner,Mary McDonnell
"Silence of the Lambs, The ",1991,274,98,Jonathan Demme,Jodie Foster,Anthony Hopkins
Snow White and the Seven Dwarfs ,1937,408,99,David Hand,Adriana Caselotti,Lucille La Verne
Fargo ,1997,275,100,Joel Coen,William H. Macy,Frances McDormand
Heavy Metal ,1981,11827,101,Gerald Potterton,Rodger Bumpass,Jackie Burroughs
"Aristocats, The ",1970,10112,102,Wolfgang Reitherman,Phil Harris,Sterling Holloway
All Dogs Go to Heaven 2 ,1996,19042,103,Larry Leker,Ernest Borgnine,Bebe Neuwirth
Theodore Rex ,1996,36259,104,Jonathan R. Betuel,Whoopi Goldberg,George Newbern
Sgt. Bilko ,1996,9099,105,Jonathan Lynn,Steve Martin,Dan Aykroyd
Diabolique ,1996,10988,106,Jeremiah S. Chechik,Sharon Stone,Isabelle Adjani
Moll Flanders ,1996,18989,107,Pen Densham,Robin Wright,Morgan Freeman
Kids in the Hall: Brain Candy ,1996,18414,108,Kelly Makin,Dave Foley,Bruce McCulloch
Mystery Science Theater 3000: The Movie ,1996,3065,109,Jim Mallon,Michael J. Nelson,Trace Beaulieu
Operation Dumbo Drop ,1995,27281,110,Simon Wincer,Danny Glover,Ray Liotta
"Truth About Cats & Dogs, The ",1996,8866,111,Michael Lehmann,Uma Thurman,Janeane Garofalo
Flipper ,1996,36355,112,Alan Shapiro,Elijah Wood,Paul Hogan
"Horseman on the Roof, The (Hussard sur le toit, Le) ",1996,11876,113,Jean-Paul Rappeneau,Juliette Binoche,Olivier Martinez
Wallace & Gromit: The Best of Aardman Animation ,1996,532,114,Nick Park,Peter Sallis,Anne Reid
"Haunted World of Edward D. Wood Jr., The ",1996,73183,115,Brett Thompson,Maila Nurmi,Dolores Fuller
Cold Comfort Farm ,1996,32513,116,John Schlesinger,Eileen Atkins,Kate Beckinsale
"Rock, The ",1996,9802,117,Michael Bay,Sean Connery,Nicolas Cage
Twister ,1996,664,118,Jan de Bont,Helen Hunt,Bill Paxton
Maya Lin: A Strong Clear Vision ,1994,85778,119,Freida Lee Mock,,
Striptease ,1996,9879,120,Andrew Bergman,Demi Moore,Burt Reynolds
Independence Day (ID4) ,1996,602,121,Roland Emmerich,Jeff Goldblum,Will Smith
"Cable Guy, The ",1996,9894,122,Ben Stiller,Jim Carrey,Matthew Broderick
"Frighteners, The ",1996,10779,123,Peter Jackson,Michael J. Fox,Jeffrey Combs
Lone Star ,1996,26748,124,John Sayles,Chris Cooper,Matthew McConaughey
Phenomenon ,1996,9294,125,Jon Turteltaub,John Travolta,Kyra Sedgwick
"Spitfire Grill, The ",1996,47907,126,Lee David Zlotoff,Alison Elliott,Ellen Burstyn
"Godfather, The ",1972,238,127,Francis Ford Coppola,Marlon Brando,Al Pacino
Supercop ,1996,11134,128,Stanley Tong,Jackie Chan,Michelle Yeoh
Bound ,1996,9303,129,Lana Wachowski,Jennifer Tilly,Gina Gershon
Kansas City ,1996,22479,130,Robert Altman,Jennifer Jason Leigh,Miranda Richardson
Breakfast at Tiffany's ,1961,164,131,Blake Edwards,Audrey Hepburn,George Peppard
"Wizard of Oz, The ",1939,630,132,Victor Fleming,Judy Garland,Frank Morgan
Gone with the Wind ,1939,770,133,Victor Fleming,Vivien Leigh,Clark Gable
Citizen Kane ,1941,15,134,Orson Welles,Orson Welles,Joseph Cotten
