genre,movie_id,movie_title,year,tmdb_id,director,actor1,actor2
Animation Children's Comedy,1,Toy Story ,1995,862,John Lasseter,Tom Hanks,Tim Allen
Action Adventure Thriller,2,GoldenEye ,1995,710,Martin Campbell,Pierce Brosnan,Sean Bean
Thriller,3,Four Rooms ,1995,5,Allison Anders,Tim Roth,Antonio Banderas
Action Comedy Drama,4,Get Shorty ,1995,8012,Barry Sonnenfeld,John Travolta,Gene Hackman
Crime Drama Thriller,5,Copycat ,1995,1710,Jon Amiel,Sigourney Weaver,Holly Hunter
Drama,6,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,37557,Zhang Yimou,Gong Li,Li Bao-Tian
Drama Sci-Fi,7,Twelve Monkeys ,1995,63,Terry Gilliam,Bruce Willis,Madeleine Stowe
Children's Comedy Drama,8,Babe ,1995,9598,Chris Noonan,Christine Cavanaugh,Miriam Margolyes
Drama,9,Dead Man Walking ,1995,687,Tim Robbins,Susan Sarandon,Sean Penn
Drama War,10,Richard III ,1996,42314,Al Pacino,Al Pacino,Winona Ryder
Crime Thriller,11,Seven (Se7en) ,1995,807,David Fincher,Brad Pitt,Morgan Freeman
Crime Thriller,12,"Usual Suspects, The ",1995,629,Bryan Singer,Stephen Baldwin,Kevin Spacey
Comedy,13,Mighty Aphrodite ,1995,11448,Woody Allen,Woody Allen,Mira Sorvino
Drama Romance,14,"Postino, Il ",1994,11010,Michael Radford,Philippe Noiret,Massimo Troisi
Drama,15,Mr. Holland's Opus ,1996,2054,Stephen Herek,Richard Dreyfuss,Glenne Headly
Comedy Romance,16,French Twist (Gazon maudit) ,1995,4482,Josiane Balasko,Victoria Abril,Josiane Balasko
Action Comedy Crime Horror Thriller,17,From Dusk Till Dawn ,1996,755,Robert Rodriguez,George Clooney,Quentin Tarantino
Drama,18,"White Balloon, The ",1995,46785,Jafar Panahi,Aida Mohammadkhani,Mohsen Kafili
Drama,19,Antonia's Line ,1995,880,Marleen Gorris,Willeke van Ammelrooy,Els Dottermans
Drama Romance,20,Angels and Insects ,1995,8447,Philip Haas,Mark Rylance,Kristin Scott Thomas
Action Adventure Comedy Musical Thriller,21,Muppet Treasure Island ,1996,10874,Brian Henson,Tim Curry,Kevin Bishop
Action Drama War,22,Braveheart ,1996,197,Mel Gibson,Mel Gibson,Catherine McCormack
Drama Thriller,23,Taxi Driver ,1996,103,Martin Scorsese,Robert De Niro,Jodie Foster
Action Adventure Crime,24,Rumble in the Bronx ,1996,33542,Stanley Tong,Jackie Chan,Anita Mui
Comedy,25,"Birdcage, The ",1996,11000,Mike Nichols,Robin Williams,Nathan Lane
Comedy,26,"Brothers McMullen, The ",1995,16388,Edward Burns,Shari Albert,Maxine Bahns
Action,27,Bad Boys ,1995,9737,Michael Bay,Will Smith,Martin Lawrence
Action Drama Thriller,28,Apollo 13 ,1995,568,Ron Howard,Tom Hanks,Bill Paxton
Action Adventure Comedy Crime,29,Batman Forever ,1995,414,Joel Schumacher,Val Kilmer,Tommy Lee Jones
Drama,30,Belle de jour ,1967,649,Luis Buñuel,Catherine Deneuve,Jean Sorel
Drama Thriller War,31,Crimson Tide ,1995,8963,Tony Scott,Denzel Washington,Gene Hackman
Documentary,32,Crumb ,1994,26564,Terry Zwigoff,Robert Crumb,Aline Kominsky
Action Romance Thriller,33,Desperado ,1995,8068,Robert Rodriguez,Antonio Banderas,Salma Hayek
Comedy Drama,34,"Doom Generation, The ",1995,13552,Gregg Araki,Rose McGowan,James Duval
Adventure Children's Drama,35,Free Willy 2: The Adventure Home ,1995,9073,Dwight H. Little,Jason James Richter,Michael Madsen
Drama Romance,36,Mad Love ,1995,47608,Antonia Bird,Chris O'Donnell,Drew Barrymore
Drama,37,Nadja ,1994,34574,Michael Almereyda,Elina Löwensohn,Peter Fonda
Sci-Fi Thriller,38,"Net, The ",1995,1642,Irwin Winkler,Sandra Bullock,Jeremy Northam
Action Crime Sci-Fi,39,Strange Days ,1995,281,Kathryn Bigelow,Ralph Fiennes,Angela Bassett
Comedy,40,"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,9090,Beeban Kidron,Patrick Swayze,Wesley Snipes
Comedy,41,Billy Madison ,1995,11017,Tamra Davis,Adam Sandler,Darren McGavin
Comedy,42,Clerks ,1994,2292,Kevin Smith,Brian O'Halloran,Jeff Anderson
Drama Thriller,43,Disclosure ,1994,8984,Barry Levinson,Michael Douglas,Demi Moore
Drama Thriller,44,Dolores Claiborne ,1994,11929,Taylor Hackford,Kathy Bates,Jennifer Jason Leigh
Comedy Drama,45,Eat Drink Man Woman ,1994,10451,Ang Lee,Sihung Lung,Yu-Wen Wang
Drama,46,Exotica ,1994,20156,Atom Egoyan,Bruce Greenwood,Mia Kirshner
Comedy Drama,47,Ed Wood ,1994,522,Tim Burton,Johnny Depp,Martin Landau
Documentary,48,Hoop Dreams ,1994,14275,Steve James,William Gates,Arthur Agee
