movie_title,year,movie+title,tmdb_id
Toy Story ,1995.0,Toy+Story,
GoldenEye ,1995.0,GoldenEye,
Four Rooms ,1995.0,Four+Rooms,
Get Shorty ,1995.0,Get+Shorty,
Copycat ,1995.0,Copycat,
Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995.0,Shanghai+Triad,
Twelve Monkeys ,1995.0,Twelve+Monkeys,
Babe ,1995.0,Babe,
Dead Man Walking ,1995.0,Dead+Man+Walking,
Richard III ,1996.0,Richard+III,
Seven (Se7en) ,1995.0,Seven,
"Usual Suspects, The ",1995.0,"Usual+Suspects,+The",
Mighty Aphrodite ,1995.0,Mighty+Aphrodite,
"Postino, Il ",1994.0,"Postino,+Il",
Mr. Holland's Opus ,1996.0,Mr.+Holland's+Opus,
French Twist (Gazon maudit) ,1995.0,French+Twist,
From Dusk Till Dawn ,1996.0,From+Dusk+Till+Dawn,
"White Balloon, The ",1995.0,"White+Balloon,+The",
Antonia's Line ,1995.0,Antonia's+Line,
Angels and Insects ,1995.0,Angels+and+Insects,
Muppet Treasure Island ,1996.0,Muppet+Treasure+Island,
Braveheart ,1996.0,Braveheart,
Taxi Driver ,1996.0,Taxi+Driver,
Rumble in the Bronx ,1996.0,Rumble+in+the+Bronx,
"Birdcage, The ",1996.0,"Birdcage,+The",
"Brothers McMullen, The ",1995.0,"Brothers+McMullen,+The",
Bad Boys ,1995.0,Bad+Boys,
Apollo 13 ,1995.0,Apollo+13,
Batman Forever ,1995.0,Batman+Forever,
Belle de jour ,1967.0,Belle+de+jour,
Crimson Tide ,1995.0,Crimson+Tide,
Crumb ,1994.0,Crumb,
Desperado ,1995.0,Desperado,
"Doom Generation, The ",1995.0,"Doom+Generation,+The",
Free Willy 2: The Adventure Home ,1995.0,Free+Willy+2:+The+Adventure+Home,
Mad Love ,1995.0,Mad+Love,
Nadja ,1994.0,Nadja,
"Net, The ",1995.0,"Net,+The",
Strange Days ,1995.0,Strange+Days,
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995.0,"To+Wong+Foo,+Thanks+for+Everything!+Julie+Newmar",
Billy Madison ,1995.0,Billy+Madison,
Clerks ,1994.0,Clerks,
Disclosure ,1994.0,Disclosure,
Dolores Claiborne ,1994.0,Dolores+Claiborne,
Eat Drink Man Woman ,1994.0,Eat+Drink+Man+Woman,
Exotica ,1994.0,Exotica,
Ed Wood ,1994.0,Ed+Wood,
Hoop Dreams ,1994.0,Hoop+Dreams,
I.Q. ,1994.0,I.Q.,
Star Wars ,1977.0,Star+Wars,
