movie_title,year,tmdb_id,movie_id
Toy Story ,1995,862,1
GoldenEye ,1995,710,2
Four Rooms ,1995,5,3
Get Shorty ,1995,8012,4
Copycat ,1995,1710,5
Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,37557,6
Twelve Monkeys ,1995,63,7
Babe ,1995,9598,8
Dead Man Walking ,1995,687,9
Richard III ,1996,42314,10
Seven (Se7en) ,1995,807,11
"Usual Suspects, The ",1995,629,12
Mighty Aphrodite ,1995,11448,13
"Postino, Il ",1994,11010,14
Mr. Holland's Opus ,1996,2054,15
French Twist (Gazon maudit) ,1995,4482,16
From Dusk Till Dawn ,1996,755,17
"White Balloon, The ",1995,46785,18
Antonia's Line ,1995,880,19
Angels and Insects ,1995,8447,20
Muppet Treasure Island ,1996,10874,21
Braveheart ,1996,197,22
Taxi Driver ,1996,103,23
Rumble in the Bronx ,1996,33542,24
"Birdcage, The ",1996,11000,25
"Brothers McMullen, The ",1995,16388,26
Bad Boys ,1995,9737,27
Apollo 13 ,1995,568,28
Batman Forever ,1995,414,29
Belle de jour ,1967,649,30
Crimson Tide ,1995,8963,31
Crumb ,1994,26564,32
Desperado ,1995,8068,33
"Doom Generation, The ",1995,13552,34
Free Willy 2: The Adventure Home ,1995,9073,35
Mad Love ,1995,47608,36
Nadja ,1994,34574,37
"Net, The ",1995,1642,38
Strange Days ,1995,281,39
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,9090,40
Billy Madison ,1995,11017,41
Clerks ,1994,2292,42
Disclosure ,1994,8984,43
Dolores Claiborne ,1994,11929,44
Eat Drink Man Woman ,1994,10451,45
Exotica ,1994,20156,46
Ed Wood ,1994,522,47
Hoop Dreams ,1994,14275,48
I.Q. ,1994,11777,49
Star Wars ,1977,11,50
Legends of the Fall ,1994,4476,51
"Madness of King George, The ",1994,11318,52
Natural Born Killers ,1994,241,53
Outbreak ,1995,6950,54
"Professional, The ",1994,101,55
Pulp Fiction ,1994,680,56
Priest ,1994,40156,57
Quiz Show ,1994,11450,58
Three Colors: Red ,1994,110,59
Three Colors: Blue ,1993,108,60
Three Colors: White ,1994,109,61
Stargate ,1994,2164,62
"Santa Clause, The ",1994,11395,63
"Shawshank Redemption, The ",1994,278,64
What's Eating Gilbert Grape ,1993,1587,65
While You Were Sleeping ,1995,2064,66
Ace Ventura: Pet Detective ,1994,3049,67
"Crow, The ",1994,9495,68
Forrest Gump ,1994,13,69
Four Weddings and a Funeral ,1994,712,70
"Lion King, The ",1994,8587,71
"Mask, The ",1994,854,72
Maverick ,1994,9359,73
Faster Pussycat! Kill! Kill! ,1965,315,74
Brother Minister: The Assassination of Malcolm X ,1994,316098,75
Carlito's Way ,1993,6075,76
"Firm, The ",1993,37233,77
Free Willy ,1993,1634,78
"Fugitive, The ",1993,5503,79
Hot Shots! Part Deux ,1993,9255,80
"Hudsucker Proxy, The ",1994,11934,81
Jurassic Park ,1993,329,82
Much Ado About Nothing ,1993,11971,83
Robert A. Heinlein's The Puppet Masters ,1994,25557,84
"Ref, The ",1994,10872,85
"Remains of the Day, The ",1993,1245,86
Searching for Bobby Fischer ,1993,14291,87
Sleepless in Seattle ,1993,858,88
Blade Runner ,1982,78,89
So I Married an Axe Murderer ,1993,10442,90
"Nightmare Before Christmas, The ",1993,9479,91
True Romance ,1993,319,92
Welcome to the Dollhouse ,1996,11446,93
Home Alone ,1990,771,94
Aladdin ,1992,812,95
Terminator 2: Judgment Day ,1991,280,96
Dances with Wolves ,1990,581,97
"Silence of the Lambs, The ",1991,274,98
Snow White and the Seven Dwarfs ,1937,408,99
Fargo ,1997,275,100
Heavy Metal ,1981,11827,101
"Aristocats, The ",1970,10112,102
All Dogs Go to Heaven 2 ,1996,19042,103
Theodore Rex ,1996,36259,104
Sgt. Bilko ,1996,9099,105
Diabolique ,1996,10988,106
Moll Flanders ,1996,18989,107
Kids in the Hall: Brain Candy ,1996,18414,108
Mystery Science Theater 3000: The Movie ,1996,3065,109
Operation Dumbo Drop ,1995,27281,110
"Truth About Cats & Dogs, The ",1996,8866,111
Flipper ,1996,36355,112
"Horseman on the Roof, The (Hussard sur le toit, Le) ",1996,11876,113
Wallace & Gromit: The Best of Aardman Animation ,1996,532,114
"Haunted World of Edward D. Wood Jr., The ",1996,73183,115
Cold Comfort Farm ,1996,32513,116
"Rock, The ",1996,9802,117
Twister ,1996,664,118
Maya Lin: A Strong Clear Vision ,1994,85778,119
Striptease ,1996,9879,120
Independence Day (ID4) ,1996,602,121
"Cable Guy, The ",1996,9894,122
"Frighteners, The ",1996,10779,123
Lone Star ,1996,26748,124
Phenomenon ,1996,9294,125
"Spitfire Grill, The ",1996,47907,126
"Godfather, The ",1972,238,127
Supercop ,1996,11134,128
Bound ,1996,9303,129
Kansas City ,1996,22479,130
Breakfast at Tiffany's ,1961,164,131
"Wizard of Oz, The ",1939,630,132
Gone with the Wind ,1939,770,133
Citizen Kane ,1941,15,134
2001: A Space Odyssey ,1968,62,135
Mr. Smith Goes to Washington ,1939,3083,136
Big Night ,1996,18203,137
D3: The Mighty Ducks ,1996,10680,138
"Love Bug, The ",1969,14136,139
Homeward Bound: The Incredible Journey ,1993,6878,140
